A2BBX6,A,B1,nB1,B2,nB2,X
Cs2RbRuCl6,Cs,Rb,1,Ru,3,Cl
Cs2SrYbCl6,Cs,Sr,2,Yb,2,Cl
Cs2CeHgCl6,Cs,Ce,3,Hg,1,Cl
Cs2TiAgCl6,Cs,Ti,3,Ag,1,Cl
Cs2NaInCl6,Cs,Na,1,In,3,Cl
Cs2MnDyCl6,Cs,Mn,2,Dy,2,Cl
Cs2MgNpCl6,Cs,Mg,2,Np,2,Cl
Cs2PtHgCl6,Cs,Pt,2,Hg,2,Cl
Cs2PKCl6,Cs,P,3,K,1,Cl
Cs2YbPtCl6,Cs,Yb,2,Pt,2,Cl
Cs2VTmCl6,Cs,V,2,Tm,2,Cl
Cs2RhAgCl6,Cs,Rh,3,Ag,1,Cl
Cs2GeRaCl6,Cs,Ge,2,Ra,2,Cl
Cs2YbPbCl6,Cs,Yb,2,Pb,2,Cl
Cs2RbMoCl6,Cs,Rb,1,Mo,3,Cl
Cs2PdBaCl6,Cs,Pd,2,Ba,2,Cl
Cs2HgPbCl6,Cs,Hg,2,Pb,2,Cl
Cs2CaAmCl6,Cs,Ca,2,Am,2,Cl
Cs2CuRaCl6,Cs,Cu,2,Ra,2,Cl
Cs2SrTmCl6,Cs,Sr,2,Tm,2,Cl
Cs2TiBaCl6,Cs,Ti,2,Ba,2,Cl
Cs2ZnDyCl6,Cs,Zn,2,Dy,2,Cl
Cs2CuPaCl6,Cs,Cu,1,Pa,3,Cl
Cs2TiCdCl6,Cs,Ti,2,Cd,2,Cl
Cs2VYbCl6,Cs,V,2,Yb,2,Cl
Cs2PdCdCl6,Cs,Pd,2,Cd,2,Cl
Cs2PAuCl6,Cs,P,3,Au,1,Cl
Cs2GaHgCl6,Cs,Ga,3,Hg,1,Cl
Cs2HgUCl6,Cs,Hg,1,U,3,Cl
Cs2CrHgCl6,Cs,Cr,3,Hg,1,Cl
Cs2NbTlCl6,Cs,Nb,3,Tl,1,Cl
Cs2HgBiCl6,Cs,Hg,1,Bi,3,Cl
Cs2AuAuCl6,Cs,Au,1,Au,3,Cl
Cs2TmPbCl6,Cs,Tm,2,Pb,2,Cl
Cs2TaTlCl6,Cs,Ta,3,Tl,1,Cl
Cs2ZnRaCl6,Cs,Zn,2,Ra,2,Cl
Cs2CaSmCl6,Cs,Ca,2,Sm,2,Cl
Cs2MnHgCl6,Cs,Mn,3,Hg,1,Cl
Cs2CuLaCl6,Cs,Cu,1,La,3,Cl
Cs2LaHgCl6,Cs,La,3,Hg,1,Cl
Cs2BeBaCl6,Cs,Be,2,Ba,2,Cl
Cs2GeDyCl6,Cs,Ge,2,Dy,2,Cl
Cs2PaCl6,Cs,Pa,4,Vac,0,Cl
Cs2CuBiCl6,Cs,Cu,1,Bi,3,Cl
Cs2LiPaCl6,Cs,Li,1,Pa,3,Cl
Cs2CaPtCl6,Cs,Ca,2,Pt,2,Cl
Cs2PdAgCl6,Cs,Pd,2,Ag,2,Cl
Cs2PdThCl6,Cs,Pd,1,Th,3,Cl
Cs2CoNpCl6,Cs,Co,2,Np,2,Cl
Cs2FeNpCl6,Cs,Fe,2,Np,2,Cl
Cs2CuUCl6,Cs,Cu,1,U,3,Cl
Cs2CrTmCl6,Cs,Cr,2,Tm,2,Cl
Cs2NaThCl6,Cs,Na,1,Th,3,Cl
Cs2KAuCl6,Cs,K,1,Au,3,Cl
Cs2MnRaCl6,Cs,Mn,2,Ra,2,Cl
Cs2YbAmCl6,Cs,Yb,2,Am,2,Cl
Cs2HgPaCl6,Cs,Hg,1,Pa,3,Cl
Cs2LiLaCl6,Cs,Li,1,La,3,Cl
Cs2LuAuCl6,Cs,Lu,3,Au,1,Cl
Cs2BRbCl6,Cs,B,3,Rb,1,Cl
Cs2MgDyCl6,Cs,Mg,2,Dy,2,Cl
Cs2LiBiCl6,Cs,Li,1,Bi,3,Cl
Cs2CaVCl6,Cs,Ca,2,V,2,Cl
Cs2NiNpCl6,Cs,Ni,2,Np,2,Cl
Cs2VAgCl6,Cs,V,3,Ag,1,Cl
Cs2FeHgCl6,Cs,Fe,3,Hg,1,Cl
Cs2LiUCl6,Cs,Li,1,U,3,Cl
Cs2CrYbCl6,Cs,Cr,2,Yb,2,Cl
Cs2YbAuCl6,Cs,Yb,3,Au,1,Cl
