comp_name,A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau,NotSim
CsLiThCl,Cs2LiThCl6,Cs,Li,Th,Cl,1,1,3,-1,188.0,76.0,120.9,98.45,181.0,3.790450600716348,False
CsLiThBr,Cs2LiThBr6,Cs,Li,Th,Br,1,1,3,-1,188.0,76.0,120.9,98.45,196.0,3.94281220559192,False
CsLiPaF,Cs2LiPaF6,Cs,Li,Pa,F,1,1,3,-1,188.0,76.0,104.0,90.0,133.0,3.3135058746284662,False
CsLiPaCl,Cs2LiPaCl6,Cs,Li,Pa,Cl,1,1,3,-1,188.0,76.0,104.0,90.0,181.0,3.8468392079618,False
CsLiPaBr,Cs2LiPaBr6,Cs,Li,Pa,Br,1,1,3,-1,188.0,76.0,104.0,90.0,196.0,4.013505874628466,False
CsLiUF,Cs2LiUF6,Cs,Li,U,F,1,1,3,-1,188.0,76.0,102.5,89.25,133.0,3.317633721489598,False
CsLiUCl,Cs2LiUCl6,Cs,Li,U,Cl,1,1,3,-1,188.0,76.0,102.5,89.25,181.0,3.855448847540018,False
CsLiUBr,Cs2LiUBr6,Cs,Li,U,Br,1,1,3,-1,188.0,76.0,102.5,89.25,196.0,4.023516074430775,False
CsLiNpF,Cs2LiNpF6,Cs,Li,Np,F,1,1,3,-1,188.0,76.0,101.0,88.5,133.0,3.3222868550572944,False
CsLiNpCl,Cs2LiNpCl6,Cs,Li,Np,Cl,1,1,3,-1,188.0,76.0,101.0,88.5,181.0,3.8646597364132265,False
CsLiNpBr,Cs2LiNpBr6,Cs,Li,Np,Br,1,1,3,-1,188.0,76.0,101.0,88.5,196.0,4.034151261836955,False
CsLiPuF,Cs2LiPuF6,Cs,Li,Pu,F,1,1,3,-1,188.0,76.0,100.0,88.0,133.0,3.325682101996964,False
CsLiPuCl,Cs2LiPuCl6,Cs,Li,Pu,Cl,1,1,3,-1,188.0,76.0,100.0,88.0,181.0,3.8711366474515096,False
CsLiPuBr,Cs2LiPuBr6,Cs,Li,Pu,Br,1,1,3,-1,188.0,76.0,100.0,88.0,196.0,4.041591192906055,False
CsLiAmF,Cs2LiAmF6,Cs,Li,Am,F,1,1,3,-1,188.0,76.0,97.5,86.75,133.0,3.335203050370977,False
CsLiAmCl,Cs2LiAmCl6,Cs,Li,Am,Cl,1,1,3,-1,188.0,76.0,97.5,86.75,181.0,3.888517171408442,False
CsLiAmBr,Cs2LiAmBr6,Cs,Li,Am,Br,1,1,3,-1,188.0,76.0,97.5,86.75,196.0,4.061427834232649,False
CsLiCmF,Cs2LiCmF6,Cs,Li,Cm,F,1,1,3,-1,188.0,76.0,97.0,86.5,133.0,3.337285338224339,False
CsLiCmCl,Cs2LiCmCl6,Cs,Li,Cm,Cl,1,1,3,-1,188.0,76.0,97.0,86.5,181.0,3.8921986330220255,False
CsLiCmBr,Cs2LiCmBr6,Cs,Li,Cm,Br,1,1,3,-1,188.0,76.0,97.0,86.5,196.0,4.065609037646304,False
CsBeMgF,Cs2BeMgF6,Cs,Be,Mg,F,1,2,2,-1,188.0,45.0,72.0,58.5,133.0,4.026316803290306,False
CsBeCaF,Cs2BeCaF6,Cs,Be,Ca,F,1,2,2,-1,188.0,45.0,100.0,72.5,133.0,3.5558856552595204,False
CsBeTiF,Cs2BeTiF6,Cs,Be,Ti,F,1,2,2,-1,188.0,45.0,86.0,65.5,133.0,3.7526998238625695,False
CsBeVF,Cs2BeVF6,Cs,Be,V,F,1,2,2,-1,188.0,45.0,79.0,62.0,133.0,3.878630460857909,False
CsBeCrF,Cs2BeCrF6,Cs,Be,Cr,F,1,2,2,-1,188.0,45.0,76.5,60.75,133.0,3.928717086957794,False
CsBeMnF,Cs2BeMnF6,Cs,Be,Mn,F,1,2,2,-1,188.0,45.0,75.0,60.0,133.0,3.9601571357507455,False
CsBeFeF,Cs2BeFeF6,Cs,Be,Fe,F,1,2,2,-1,188.0,45.0,69.5,57.25,133.0,4.08496348614387,False
CsBeCoF,Cs2BeCoF6,Cs,Be,Co,F,1,2,2,-1,188.0,45.0,69.75,57.375,133.0,4.078949431428646,False
CsBeNiF,Cs2BeNiF6,Cs,Be,Ni,F,1,2,2,-1,188.0,45.0,69.0,57.0,133.0,4.097093456373177,False
CsBeCuF,Cs2BeCuF6,Cs,Be,Cu,F,1,2,2,-1,188.0,45.0,73.0,59.0,133.0,4.003765507185047,False
CsBeZnF,Cs2BeZnF6,Cs,Be,Zn,F,1,2,2,-1,188.0,45.0,74.0,59.5,133.0,3.981715851126638,False
CsBeGeF,Cs2BeGeF6,Cs,Be,Ge,F,1,2,2,-1,188.0,45.0,73.0,59.0,133.0,4.003765507185047,False
CsBeSrF,Cs2BeSrF6,Cs,Be,Sr,F,1,2,2,-1,188.0,45.0,118.0,81.5,133.0,3.391702022962244,False
CsBeSrCl,Cs2BeSrCl6,Cs,Be,Sr,Cl,1,2,2,-1,188.0,45.0,118.0,81.5,181.0,3.980659078176968,False
CsBeSrBr,Cs2BeSrBr6,Cs,Be,Sr,Br,1,2,2,-1,188.0,45.0,118.0,81.5,196.0,4.164708157931569,False
CsBePdF,Cs2BePdF6,Cs,Be,Pd,F,1,2,2,-1,188.0,45.0,86.0,65.5,133.0,3.7526998238625695,False
CsBeAgF,Cs2BeAgF6,Cs,Be,Ag,F,1,2,2,-1,188.0,45.0,94.0,69.5,133.0,3.6319834300953326,False
CsBeCdF,Cs2BeCdF6,Cs,Be,Cd,F,1,2,2,-1,188.0,45.0,95.0,70.0,133.0,3.618480894994283,False
CsBeBaF,Cs2BeBaF6,Cs,Be,Ba,F,1,2,2,-1,188.0,45.0,135.0,90.0,133.0,3.3135058746284662,False
CsBeBaCl,Cs2BeBaCl6,Cs,Be,Ba,Cl,1,2,2,-1,188.0,45.0,135.0,90.0,181.0,3.8468392079618,False
CsBeBaBr,Cs2BeBaBr6,Cs,Be,Ba,Br,1,2,2,-1,188.0,45.0,135.0,90.0,196.0,4.013505874628466,False
CsBeNdF,Cs2BeNdF6,Cs,Be,Nd,F,1,2,2,-1,188.0,45.0,129.0,87.0,133.0,3.333180312407561,False
CsBeNdCl,Cs2BeNdCl6,Cs,Be,Nd,Cl,1,2,2,-1,188.0,45.0,129.0,87.0,181.0,3.884904450338595,False
CsBeNdBr,Cs2BeNdBr6,Cs,Be,Nd,Br,1,2,2,-1,188.0,45.0,129.0,87.0,196.0,4.057318243442044,False
CsBeSmF,Cs2BeSmF6,Cs,Be,Sm,F,1,2,2,-1,188.0,45.0,122.0,83.5,133.0,3.366976469120194,False
CsBeSmCl,Cs2BeSmCl6,Cs,Be,Sm,Cl,1,2,2,-1,188.0,45.0,122.0,83.5,181.0,3.941826768521392,False
CsBeSmBr,Cs2BeSmBr6,Cs,Be,Sm,Br,1,2,2,-1,188.0,45.0,122.0,83.5,196.0,4.121467487084265,False
CsBeEuF,Cs2BeEuF6,Cs,Be,Eu,F,1,2,2,-1,188.0,45.0,117.0,81.0,133.0,3.398516257489134,False
CsBeEuCl,Cs2BeEuCl6,Cs,Be,Eu,Cl,1,2,2,-1,188.0,45.0,117.0,81.0,181.0,3.991108850081727,False
CsBeEuBr,Cs2BeEuBr6,Cs,Be,Eu,Br,1,2,2,-1,188.0,45.0,117.0,81.0,196.0,4.176294035266912,False
CsBeDyF,Cs2BeDyF6,Cs,Be,Dy,F,1,2,2,-1,188.0,45.0,107.0,76.0,133.0,3.4812141553639515,False
CsBeDyCl,Cs2BeDyCl6,Cs,Be,Dy,Cl,1,2,2,-1,188.0,45.0,107.0,76.0,181.0,4.112793102732373,False
CsBeTmF,Cs2BeTmF6,Cs,Be,Tm,F,1,2,2,-1,188.0,45.0,103.0,74.0,133.0,3.5220973468311483,False
CsBeTmCl,Cs2BeTmCl6,Cs,Be,Tm,Cl,1,2,2,-1,188.0,45.0,103.0,74.0,181.0,4.1707459954797965,False
CsBeYbF,Cs2BeYbF6,Cs,Be,Yb,F,1,2,2,-1,188.0,45.0,102.0,73.5,133.0,3.5330560164237115,False
CsBePtF,Cs2BePtF6,Cs,Be,Pt,F,1,2,2,-1,188.0,45.0,80.0,62.5,133.0,3.859378530177355,False
CsBeHgF,Cs2BeHgF6,Cs,Be,Hg,F,1,2,2,-1,188.0,45.0,102.0,73.5,133.0,3.5330560164237115,False
CsBePbF,Cs2BePbF6,Cs,Be,Pb,F,1,2,2,-1,188.0,45.0,119.0,82.0,133.0,3.3851429265948942,False
CsBePbCl,Cs2BePbCl6,Cs,Be,Pb,Cl,1,2,2,-1,188.0,45.0,119.0,82.0,181.0,3.970508780253431,False
CsBePbBr,Cs2BePbBr6,Cs,Be,Pb,Br,1,2,2,-1,188.0,45.0,119.0,82.0,196.0,4.153435609521724,False
CsBeRaF,Cs2BeRaF6,Cs,Be,Ra,F,1,2,2,-1,188.0,45.0,148.0,96.5,133.0,3.2995002743733988,False
CsBeRaCl,Cs2BeRaCl6,Cs,Be,Ra,Cl,1,2,2,-1,188.0,45.0,148.0,96.5,181.0,3.796909600798269,False
CsBeRaBr,Cs2BeRaBr6,Cs,Be,Ra,Br,1,2,2,-1,188.0,45.0,148.0,96.5,196.0,3.952350015306042,False
CsBeNpF,Cs2BeNpF6,Cs,Be,Np,F,1,2,2,-1,188.0,45.0,110.0,77.5,133.0,3.453552781306235,False
CsBeNpCl,Cs2BeNpCl6,Cs,Be,Np,Cl,1,2,2,-1,188.0,45.0,110.0,77.5,181.0,4.072907620015913,False
CsBeAmF,Cs2BeAmF6,Cs,Be,Am,F,1,2,2,-1,188.0,45.0,121.0,83.0,133.0,3.3727820541814637,False
CsBeAmCl,Cs2BeAmCl6,Cs,Be,Am,Cl,1,2,2,-1,188.0,45.0,121.0,83.0,181.0,3.951095307193512,False
CsBeAmBr,Cs2BeAmBr6,Cs,Be,Am,Br,1,2,2,-1,188.0,45.0,121.0,83.0,196.0,4.131818198759777,False
CsBNaF,Cs2BNaF6,Cs,B,Na,F,1,3,1,-1,188.0,27.0,102.0,64.5,133.0,3.786629505876294,False
CsBKF,Cs2BKF6,Cs,B,K,F,1,3,1,-1,188.0,27.0,138.0,82.5,133.0,3.378836920870364,False
CsBKCl,Cs2BKCl6,Cs,B,K,Cl,1,3,1,-1,188.0,27.0,138.0,82.5,181.0,3.960655102688545,False
CsBKBr,Cs2BKBr6,Cs,B,K,Br,1,3,1,-1,188.0,27.0,138.0,82.5,196.0,4.142473284506727,False
CsBRbF,Cs2BRbF6,Cs,B,Rb,F,1,3,1,-1,188.0,27.0,152.0,89.5,133.0,3.3161995306009606,False
CsBRbCl,Cs2BRbCl6,Cs,B,Rb,Cl,1,3,1,-1,188.0,27.0,152.0,89.5,181.0,3.852512379762972,False
CsBRbBr,Cs2BRbBr6,Cs,B,Rb,Br,1,3,1,-1,188.0,27.0,152.0,89.5,196.0,4.0201101451261,False
CsBAgF,Cs2BAgF6,Cs,B,Ag,F,1,3,1,-1,188.0,27.0,115.0,71.0,133.0,3.5924737984702126,False
CsBCsF,Cs2BCsF6,Cs,B,Cs,F,1,3,1,-1,188.0,27.0,167.0,97.0,133.0,3.3000347005063624,False
CsBCsCl,Cs2BCsCl6,Cs,B,Cs,Cl,1,3,1,-1,188.0,27.0,167.0,97.0,181.0,3.7948800613311047,False
CsBCsBr,Cs2BCsBr6,Cs,B,Cs,Br,1,3,1,-1,188.0,27.0,167.0,97.0,196.0,3.949519236588837,False
CsBAuF,Cs2BAuF6,Cs,B,Au,F,1,3,1,-1,188.0,27.0,137.0,82.0,133.0,3.3851429265948942,False
CsBAuCl,Cs2BAuCl6,Cs,B,Au,Cl,1,3,1,-1,188.0,27.0,137.0,82.0,181.0,3.970508780253431,False
CsBAuBr,Cs2BAuBr6,Cs,B,Au,Br,1,3,1,-1,188.0,27.0,137.0,82.0,196.0,4.153435609521724,False
CsBHgF,Cs2BHgF6,Cs,B,Hg,F,1,3,1,-1,188.0,27.0,119.0,73.0,133.0,3.544317436888376,False
CsBTlF,Cs2BTlF6,Cs,B,Tl,F,1,3,1,-1,188.0,27.0,150.0,88.5,133.0,3.3222868550572944,False
CsBTlCl,Cs2BTlCl6,Cs,B,Tl,Cl,1,3,1,-1,188.0,27.0,150.0,88.5,181.0,3.8646597364132265,False
CsBTlBr,Cs2BTlBr6,Cs,B,Tl,Br,1,3,1,-1,188.0,27.0,150.0,88.5,196.0,4.034151261836955,False
CsBFrF,Cs2BFrF6,Cs,B,Fr,F,1,3,1,-1,188.0,27.0,180.0,103.5,133.0,3.328273195849312,False
CsBFrCl,Cs2BFrCl6,Cs,B,Fr,Cl,1,3,1,-1,188.0,27.0,180.0,103.5,181.0,3.792041311791341,False
CsBFrBr,Cs2BFrBr6,Cs,B,Fr,Br,1,3,1,-1,188.0,27.0,180.0,103.5,196.0,3.936968848023225,False
CsBFrI,Cs2BFrI6,Cs,B,Fr,I,1,3,1,-1,188.0,27.0,180.0,103.5,220.00000000000003,4.16885290599424,False
CsNNaF,Cs2NNaF6,Cs,N,Na,F,1,3,1,-1,188.0,16.0,102.0,59.0,133.0,4.003765507185047,False
CsNKF,Cs2NKF6,Cs,N,K,F,1,3,1,-1,188.0,16.0,138.0,77.0,133.0,3.462493984166535,False
CsNKCl,Cs2NKCl6,Cs,N,K,Cl,1,3,1,-1,188.0,16.0,138.0,77.0,181.0,4.085870607543159,False
CsNRbF,Cs2NRbF6,Cs,N,Rb,F,1,3,1,-1,188.0,16.0,152.0,84.0,133.0,3.361418400860302,False
