A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau
Li2BTlF6,Li,B,Tl,F,1,3,1,-1,92.0,27.0,150.0,88.5,133.0,27.304953245375764
Li2BTlCl6,Li,B,Tl,Cl,1,3,1,-1,92.0,27.0,150.0,88.5,181.0,27.847326126731694
Li2BTlBr6,Li,B,Tl,Br,1,3,1,-1,92.0,27.0,150.0,88.5,196.0,28.016817652155424
Li2BTlI6,Li,B,Tl,I,1,3,1,-1,92.0,27.0,150.0,88.5,220.00000000000003,28.28800409283339
Li2NNaF6,Li,N,Na,F,1,3,1,-1,92.0,16.0,102.0,59.0,133.0,4.7642385409523165
Li2NNaCl6,Li,N,Na,Cl,1,3,1,-1,92.0,16.0,102.0,59.0,181.0,5.577797862986214
Li2NNaBr6,Li,N,Na,Br,1,3,1,-1,92.0,16.0,102.0,59.0,196.0,5.832035151121808
Li2NNaI6,Li,N,Na,I,1,3,1,-1,92.0,16.0,102.0,59.0,220.00000000000003,6.238814812138758
Li2NKF6,Li,N,K,F,1,3,1,-1,92.0,16.0,138.0,77.0,133.0,7.440296740661873
Li2NKCl6,Li,N,K,Cl,1,3,1,-1,92.0,16.0,138.0,77.0,181.0,8.063673364038497
Li2NKBr6,Li,N,K,Br,1,3,1,-1,92.0,16.0,138.0,77.0,196.0,8.258478558843692
Li2NKI6,Li,N,K,I,1,3,1,-1,92.0,16.0,138.0,77.0,220.00000000000003,8.570166870532002
Li2NCuF6,Li,N,Cu,F,1,3,1,-1,92.0,16.0,77.0,46.5,133.0,4.759803902722061
Li2NCuCl6,Li,N,Cu,Cl,1,3,1,-1,92.0,16.0,77.0,46.5,181.0,5.79206196723819
Li2NCuBr6,Li,N,Cu,Br,1,3,1,-1,92.0,16.0,77.0,46.5,196.0,6.11464261239948
Li2NCuI6,Li,N,Cu,I,1,3,1,-1,92.0,16.0,77.0,46.5,220.00000000000003,6.630771644657545
Li2NRbF6,Li,N,Rb,F,1,3,1,-1,92.0,16.0,152.0,84.0,133.0,12.622650546208794
Li2NRbCl6,Li,N,Rb,Cl,1,3,1,-1,92.0,16.0,152.0,84.0,181.0,13.194079117637365
Li2NRbBr6,Li,N,Rb,Br,1,3,1,-1,92.0,16.0,152.0,84.0,196.0,13.372650546208794
Li2NRbI6,Li,N,Rb,I,1,3,1,-1,92.0,16.0,152.0,84.0,220.00000000000003,13.65836483192308
Li2NPdF6,Li,N,Pd,F,1,3,1,-1,92.0,16.0,59.0,37.5,133.0,5.280345170963529
Li2NPdCl6,Li,N,Pd,Cl,1,3,1,-1,92.0,16.0,59.0,37.5,181.0,6.560345170963529
Li2NPdBr6,Li,N,Pd,Br,1,3,1,-1,92.0,16.0,59.0,37.5,196.0,6.960345170963529
Li2NPdI6,Li,N,Pd,I,1,3,1,-1,92.0,16.0,59.0,37.5,220.00000000000003,7.6003451709635295
Li2NAgF6,Li,N,Ag,F,1,3,1,-1,92.0,16.0,114.99999999999999,65.5,133.0,5.164833006873957
Li2NAgCl6,Li,N,Ag,Cl,1,3,1,-1,92.0,16.0,114.99999999999999,65.5,181.0,5.8976574343548736
Li2NAgBr6,Li,N,Ag,Br,1,3,1,-1,92.0,16.0,114.99999999999999,65.5,196.0,6.12666506794266
Li2NAgI6,Li,N,Ag,I,1,3,1,-1,92.0,16.0,114.99999999999999,65.5,220.00000000000003,6.493077281683118
Li2NCsF6,Li,N,Cs,F,1,3,1,-1,92.0,16.0,167.0,91.5,133.0,184.95582753789557
Li2NCsCl6,Li,N,Cs,Cl,1,3,1,-1,92.0,16.0,167.0,91.5,181.0,185.48041770183
Li2NCsBr6,Li,N,Cs,Br,1,3,1,-1,92.0,16.0,167.0,91.5,196.0,185.6443521280595
Li2NCsI6,Li,N,Cs,I,1,3,1,-1,92.0,16.0,167.0,91.5,220.00000000000003,185.9066472100267
Li2NAuF6,Li,N,Au,F,1,3,1,-1,92.0,16.0,137.0,76.5,133.0,7.256873654102984
Li2NAuCl6,Li,N,Au,Cl,1,3,1,-1,92.0,16.0,137.0,76.5,181.0,7.88432463449514
Li2NAuBr6,Li,N,Au,Br,1,3,1,-1,92.0,16.0,137.0,76.5,196.0,8.080403065867689
Li2NAuI6,Li,N,Au,I,1,3,1,-1,92.0,16.0,137.0,76.5,220.00000000000003,8.39412855606377
Li2NHgF6,Li,N,Hg,F,1,3,1,-1,92.0,16.0,119.0,67.5,133.0,5.371838603835672
Li2NHgCl6,Li,N,Hg,Cl,1,3,1,-1,92.0,16.0,119.0,67.5,181.0,6.082949714946782
Li2NHgBr6,Li,N,Hg,Br,1,3,1,-1,92.0,16.0,119.0,67.5,196.0,6.305171937169005
Li2NHgI6,Li,N,Hg,I,1,3,1,-1,92.0,16.0,119.0,67.5,220.00000000000003,6.66072749272456
Li2NTlF6,Li,N,Tl,F,1,3,1,-1,92.0,16.0,150.0,83.0,133.0,11.369341157346287
Li2NTlCl6,Li,N,Tl,Cl,1,3,1,-1,92.0,16.0,150.0,83.0,181.0,11.947654410358336
Li2NTlBr6,Li,N,Tl,Br,1,3,1,-1,92.0,16.0,150.0,83.0,196.0,12.128377301924601
Li2NTlI6,Li,N,Tl,I,1,3,1,-1,92.0,16.0,150.0,83.0,220.00000000000003,12.417533928430625
Li2NaAlF6,Li,Na,Al,F,1,1,3,-1,92.0,102.0,53.5,77.75,133.0,7.741804467603851
Li2NaAlCl6,Li,Na,Al,Cl,1,1,3,-1,92.0,102.0,53.5,77.75,181.0,8.359167811655297
Li2NaAlBr6,Li,Na,Al,Br,1,1,3,-1,92.0,102.0,53.5,77.75,196.0,8.552093856671375
Li2NaAlI6,Li,Na,Al,I,1,1,3,-1,92.0,102.0,53.5,77.75,220.00000000000003,8.860775528697099
Li2NaPF6,Li,Na,P,F,1,1,3,-1,92.0,102.0,44.0,73.0,133.0,6.26988685758268
Li2NaPCl6,Li,Na,P,Cl,1,1,3,-1,92.0,102.0,44.0,73.0,181.0,6.927421104158023
Li2NaPBr6,Li,Na,P,Br,1,1,3,-1,92.0,102.0,44.0,73.0,196.0,7.132900556212817
Li2NaPI6,Li,Na,P,I,1,1,3,-1,92.0,102.0,44.0,73.0,220.00000000000003,7.461667679500489
Li2NaScF6,Li,Na,Sc,F,1,1,3,-1,92.0,102.0,74.5,88.25,133.0,25.55804678132856
Li2NaScCl6,Li,Na,Sc,Cl,1,1,3,-1,92.0,102.0,74.5,88.25,181.0,26.101956129770485
Li2NaScBr6,Li,Na,Sc,Br,1,1,3,-1,92.0,102.0,74.5,88.25,196.0,26.27192780115859
Li2NaScI6,Li,Na,Sc,I,1,1,3,-1,92.0,102.0,74.5,88.25,220.00000000000003,26.54388247537955
Li2NaTiF6,Li,Na,Ti,F,1,1,3,-1,92.0,102.0,67.0,84.5,133.0,13.377295399211603
Li2NaTiCl6,Li,Na,Ti,Cl,1,1,3,-1,92.0,102.0,67.0,84.5,181.0,13.94534273648971
Li2NaTiBr6,Li,Na,Ti,Br,1,1,3,-1,92.0,102.0,67.0,84.5,196.0,14.122857529389117
Li2NaTiI6,Li,Na,Ti,I,1,1,3,-1,92.0,102.0,67.0,84.5,220.00000000000003,14.406881198028172
Li2NaVF6,Li,Na,V,F,1,1,3,-1,92.0,102.0,64.0,83.0,133.0,11.369341157346287
Li2NaVCl6,Li,Na,V,Cl,1,1,3,-1,92.0,102.0,64.0,83.0,181.0,11.947654410358336
Li2NaVBr6,Li,Na,V,Br,1,1,3,-1,92.0,102.0,64.0,83.0,196.0,12.128377301924601
Li2NaVI6,Li,Na,V,I,1,1,3,-1,92.0,102.0,64.0,83.0,220.00000000000003,12.417533928430625
Li2NaCrF6,Li,Na,Cr,F,1,1,3,-1,92.0,102.0,61.5,81.75,133.0,10.154137005596992
Li2NaCrCl6,Li,Na,Cr,Cl,1,1,3,-1,92.0,102.0,61.5,81.75,181.0,10.741292968899744
Li2NaCrBr6,Li,Na,Cr,Br,1,1,3,-1,92.0,102.0,61.5,81.75,196.0,10.924779207431854
Li2NaCrI6,Li,Na,Cr,I,1,1,3,-1,92.0,102.0,61.5,81.75,220.00000000000003,11.21835718908323
Li2NaMnF6,Li,Na,Mn,F,1,1,3,-1,92.0,102.0,61.25,81.625,133.0,10.049189686313113
Li2NaMnCl6,Li,Na,Mn,Cl,1,1,3,-1,92.0,102.0,61.25,81.625,181.0,10.637244816481566
Li2NaMnBr6,Li,Na,Mn,Br,1,1,3,-1,92.0,102.0,61.25,81.625,196.0,10.821012044659208
Li2NaMnI6,Li,Na,Mn,I,1,1,3,-1,92.0,102.0,61.25,81.625,220.00000000000003,11.115039609743434
Li2NaFeF6,Li,Na,Fe,F,1,1,3,-1,92.0,102.0,59.75,80.875,133.0,9.470740684952602
Li2NaFeCl6,Li,Na,Fe,Cl,1,1,3,-1,92.0,102.0,59.75,80.875,181.0,10.0642491857254
Li2NaFeBr6,Li,Na,Fe,Br,1,1,3,-1,92.0,102.0,59.75,80.875,196.0,10.2497205922169
Li2NaFeI6,Li,Na,Fe,I,1,1,3,-1,92.0,102.0,59.75,80.875,220.00000000000003,10.546474842603299
Li2NaCoF6,Li,Na,Co,F,1,1,3,-1,92.0,102.0,57.75,79.875,133.0,8.815070039632353
Li2NaCoCl6,Li,Na,Co,Cl,1,1,3,-1,92.0,102.0,57.75,79.875,181.0,9.416009006768505
Li2NaCoBr6,Li,Na,Co,Br,1,1,3,-1,92.0,102.0,57.75,79.875,196.0,9.60380243399855
