comp,basisset#,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts
1718_CsPdPmCl,basisset0,1.105,True,0.0001,0.0
1719_CsLiInCl,basisset0,0.59,True,0.0003,0.0
1720_CsPdCmCl,basisset0,0.805,True,0.0082,0.0
1721_CsBaNpCl,basisset0,1.93,False,NaN,NaN
1723_CsTiCoCl,basisset0,0.825,False,NaN,NaN
1725_CsVCrCl,basisset0,0.555,True,0.0003,0.0
1726_CsFePdCl,basisset0,0.66,True,0.0,0.0
1727_CsNaAlCl,basisset0,0.79,True,7.834,1.3889
1728_CsRbGdCl,basisset0,1.09,False,NaN,NaN
1729_CsTlSmCl,basisset0,1.185,True,0.0023,0.0
1730_CsMnPtCl,basisset0,0.655,True,0.0,0.0
1731_CsPbVacCl,basisset0,0.68,True,0.0,0.0
1732_CsNiPdCl,basisset0,0.665,True,0.0001,0.0
1733_CsTiNiCl,basisset0,0.79,True,0.0,0.0
1734_CsBeNpCl,basisset0,1.28,True,0.0,0.0
1735_CsNdEuCl,basisset0,1.2,False,NaN,NaN
1736_CsFrRhCl,basisset0,0.74,True,0.0042,0.0
1737_CsRbEuCl,basisset0,1.09,False,NaN,NaN
1738_CsKNCl,basisset0,0.62,True,0.0001,0.0
1739_CsZnPtCl,basisset0,0.74,False,NaN,NaN
1740_CsVMnCl,basisset0,0.555,True,0.0,0.0
1741_CsTlPmCl,basisset0,1.21,False,NaN,NaN
1742_CsTlCmCl,basisset0,0.935,True,0.3068,1.3889
1743_CsFrTiCl,basisset0,0.805,False,NaN,NaN
1744_CsSrNdCl,basisset0,1.04,True,0.0,0.0
1745_CsTlAmCl,basisset0,0.92,True,0.5165,5.5556
1746_CsCuSbCl,basisset0,0.87,True,0.0001,0.0
