comp,lattice_a_primitive,lattice_a_conventional,distance_B1_X,distance_B1_A,size_Oh_B1,distance_B2_X,distance_B2_A,size_Oh_B2,calc_oct_mismatch
1027_CsNaAmCl,7.59790924414755,10.745066298753375,2.714680078737853,4.652750190034228,5.429360157475707,2.6578530706388355,4.652750190034228,5.315706141277668,0.015698
1028_CsKCrCl,7.455210617662376,10.543259965846032,2.9436354595339638,4.565365484563058,5.887270919067927,2.3279945233890524,4.565365484563058,4.655989046778105,0.170067
1029_CsKMnCl,7.487593610914833,10.58905643409389,2.9388623467827357,4.585195937016185,5.87772469356547,2.35566587026421,4.585195937016185,4.711331740528422,0.161104
1030_CsAgTlCl,7.405452126333103,10.472890832564948,2.612168425278308,4.5348947560312025,5.224336850556616,2.624276991004166,4.5348947560312025,5.248553982008332,0.003345
1031_CsAuRhCl,7.0660885865834056,9.992958312075986,2.622093787263021,4.327077878608335,5.244187574526043,2.3743853687749725,4.327077878608335,4.748770737549943,0.068428
1032_CsTlAlCl,7.529883788418217,10.648863776674345,2.996351556413953,4.611093276019941,5.992703112827906,2.3280803319232186,4.611093276019941,4.656160663846438,0.184605
1033_CsPtPbCl,7.418956634634458,10.491989091357906,2.459889245678424,4.543164544672578,4.9197784913568485,2.7861053000005294,4.543164544672578,5.572210600001058,0.090115
1034_CsHgInCl,7.524722670365858,10.641564853527688,2.7737482943285228,4.607932749587303,5.547496588657047,2.5470341324353214,4.607932749587303,5.094068264870641,0.062628
1035_CsNaCmCl,7.60472126961071,10.754699957550608,2.7196084985828684,4.656921686659126,5.439216997165736,2.657741480192436,4.656921686659126,5.315482960384873,0.01709
1036_CsAuGaCl,7.168476115095968,10.137756143516311,2.6588949753678053,4.389777178828444,5.317789950735609,2.4099830963903512,4.389777178828444,4.819966192780704,0.06876
1037_CsNaPmCl,7.629123737745174,10.789210258941743,2.719224682450585,4.6718650855076165,5.438449364901171,2.675380447020287,4.6718650855076165,5.350760894040574,0.012112
1038_CsCoNdCl,7.276762254647965,10.290895870687772,2.438063390241857,4.456088625857996,4.876126780483716,2.707384545102029,4.456088625857996,5.414769090204057,0.074398
1039_CsYbHgCl,7.675738416606269,10.855133369992773,2.557895219585326,4.700410629940962,5.115790439170653,2.86967146541106,4.700410629940962,5.73934293082212,0.086126
1040_CsNiBaCl,7.529774089590601,10.648708639104552,2.3699648820968395,4.6110260994816805,4.739929764193677,2.954389437455437,4.6110260994816805,5.908778874910876,0.161443
1041_CsSrPdCl,7.482200488887871,10.58142940777983,2.805393434827227,4.58189333774453,5.610786869654456,2.485321269062688,4.58189333774453,4.970642538125373,0.088418
1042_CsAuTiCl,7.21130651980734,10.198327482741064,2.682827627002138,4.416005338083384,5.3656552540042775,2.416336114368394,4.416005338083384,4.8326722287367865,0.073616
1043_CsTlCuCl,7.236422937884899,10.23384746182458,2.7051641827100763,4.431385940197493,5.410328365420153,2.4117595482022143,4.431385940197493,4.823519096404428,0.081051
1044_CsTiSrCl,7.470513598007701,10.56490164819512,2.478036180851719,4.5747366079105305,4.956072361703439,2.804414643245841,4.5747366079105305,5.60882928649168,0.09016
1045_CsHgAuCl,7.328371293389882,10.363882073217631,2.646754502178186,4.487692578616302,5.293509004356379,2.535186534430629,4.487692578616302,5.070373068861254,0.03082
1046_CsAgErCl,7.441817401192692,10.524319097470803,2.680465399129944,4.557163847971716,5.360930798259889,2.5816941496054584,4.557163847971716,5.163388299210917,0.027285
1047_CsMnNdCl,7.388281615537978,10.44860806332561,2.500051949126794,4.524380008513451,5.000103898253587,2.724252082536011,4.524380008513451,5.448504165072023,0.061934
1048_CsAgNpCl,7.558810784569038,10.689772726949547,2.671485200171949,4.628807371110181,5.342970400343899,2.6734011633028256,4.628807371110181,5.34680232660565,0.000529
1049_CsAuCrCl,7.105140665457623,10.048186291658768,2.6580263679054603,4.350992295267523,5.316052735810918,2.3660667779239235,4.350992295267523,4.73213355584785,0.080652
1050_CsFeNdCl,7.316240675159173,10.346726788395792,2.461037781237983,4.480264122383868,4.922075562475964,2.712325612959914,4.480264122383868,5.424651225919828,0.069417
1051_CsCrSmCl,7.450402034012495,10.536459601632563,2.5923791682639363,4.562420840481134,5.184758336527873,2.675850632552346,4.562420840481134,5.351701265104692,0.023058
1052_CsAuMnCl,7.113052785864631,10.059375719645487,2.624302707348632,4.3558374597126805,5.2486054146972645,2.4053851524741114,4.3558374597126805,4.810770304948223,0.060474
1053_CsNaUCl,7.661549872340983,10.835067738262474,2.718487365052645,4.691721956530252,5.436974730105288,2.699046504078592,4.691721956530252,5.398093008157185,0.00537
1054_CsFeBaCl,7.617443227246277,10.772691522578764,2.429703404771116,4.664712262843236,4.859406809542234,2.956642356518265,4.664712262843236,5.9132847130365285,0.145563
1055_CsKRhCl,7.439232428034871,10.520663393372644,2.9356799929574238,4.555580881662854,5.871359985914845,2.3246517037288994,4.555580881662854,4.649303407457801,0.168792
