CsTmPbCl,Cs,Tm,2,Pb,2,Cl,1367
CsAuAuCl,Cs,Au,1,Au,3,Cl,1368
CsHgMnCl,Cs,Hg,1,Mn,3,Cl,1369
CsCuLaCl,Cs,Cu,1,La,3,Cl,1370
CsHgLaCl,Cs,Hg,1,La,3,Cl,1371
CsPdAgCl,Cs,Pd,2,Ag,2,Cl,1372
CsBeBaCl,Cs,Be,2,Ba,2,Cl,1373
CsTiAgCl,Cs,Ti,2,Ag,2,Cl,1374
CsPaVacCl,Cs,Pa,4,Vac,0,Cl,1375
CsCaPtCl,Cs,Ca,2,Pt,2,Cl,1376
CsCuBiCl,Cs,Cu,1,Bi,3,Cl,1377
CsCuDyCl,Cs,Cu,2,Dy,2,Cl,1378
CsGeDyCl,Cs,Ge,2,Dy,2,Cl,1379
CsLiPaCl,Cs,Li,1,Pa,3,Cl,1380
CsPdThCl,Cs,Pd,1,Th,3,Cl,1381
CsCoNpCl,Cs,Co,2,Np,2,Cl,1382
CsFeNpCl,Cs,Fe,2,Np,2,Cl,1383
CsCrTmCl,Cs,Cr,2,Tm,2,Cl,1384
CsCuUCl,Cs,Cu,1,U,3,Cl,1385
CsNaThCl,Cs,Na,1,Th,3,Cl,1386
CsYbAmCl,Cs,Yb,2,Am,2,Cl,1387
CsMnRaCl,Cs,Mn,2,Ra,2,Cl,1388
CsHgPaCl,Cs,Hg,1,Pa,3,Cl,1389
CsKAuCl,Cs,K,1,Au,3,Cl,1390
CsLiLaCl,Cs,Li,1,La,3,Cl,1391
CsAuLuCl,Cs,Au,1,Lu,3,Cl,1392
CsMgDyCl,Cs,Mg,2,Dy,2,Cl,1393
CsNiNpCl,Cs,Ni,2,Np,2,Cl,1394
CsRbBCl,Cs,Rb,1,B,3,Cl,1395
CsLiBiCl,Cs,Li,1,Bi,3,Cl,1396
CsAgVCl,Cs,Ag,1,V,3,Cl,1397
CsCaVCl,Cs,Ca,2,V,2,Cl,1398
CsHgFeCl,Cs,Hg,1,Fe,3,Cl,1399
CsCrHgCl,Cs,Cr,2,Hg,2,Cl,1400
CsCrYbCl,Cs,Cr,2,Yb,2,Cl,1401
CsLiUCl,Cs,Li,1,U,3,Cl,1402
CsAuYbCl,Cs,Au,1,Yb,3,Cl,1403
CsFrPCl,Cs,Fr,1,P,3,Cl,1404
CsRbNbCl,Cs,Rb,1,Nb,3,Cl,1405
CsEuDyCl,Cs,Eu,2,Dy,2,Cl,1406
CsTmAmCl,Cs,Tm,2,Am,2,Cl,1407
CsRbTaCl,Cs,Rb,1,Ta,3,Cl,1408
CsSmYbCl,Cs,Sm,2,Yb,2,Cl,1409
CsSmHgCl,Cs,Sm,2,Hg,2,Cl,1410
CsCdNdCl,Cs,Cd,2,Nd,2,Cl,1411
CsKLuCl,Cs,K,1,Lu,3,Cl,1412
CsCuCeCl,Cs,Cu,1,Ce,3,Cl,1413
CsMnTmCl,Cs,Mn,2,Tm,2,Cl,1414
CsNaPdCl,Cs,Na,1,Pd,3,Cl,1415
CsNaSbCl,Cs,Na,1,Sb,3,Cl,1416
CsUVacCl,Cs,U,4,Vac,0,Cl,1417
CsCrRaCl,Cs,Cr,2,Ra,2,Cl,1418
CsTlScCl,Cs,Tl,1,Sc,3,Cl,1419
CsKYbCl,Cs,K,1,Yb,3,Cl,1420
CsTlAgCl,Cs,Tl,1,Ag,3,Cl,1421
CsSrDyCl,Cs,Sr,2,Dy,2,Cl,1422
CsSmTmCl,Cs,Sm,2,Tm,2,Cl,1423
CsAuTmCl,Cs,Au,1,Tm,3,Cl,1424
CsAgGaCl,Cs,Ag,1,Ga,3,Cl,1425
CsNaAgCl,Cs,Na,1,Ag,3,Cl,1426
CsLiNpCl,Cs,Li,1,Np,3,Cl,1427
CsMnYbCl,Cs,Mn,2,Yb,2,Cl,1428
CsHgAsCl,Cs,Hg,1,As,3,Cl,1429
CsTlBCl,Cs,Tl,1,B,3,Cl,1430
