,chemsys,nsites,E_MACE-MPA-0,E_MACE-MP-0b3,E_MatPES-r2SCAN,E_SevenNet
mp-1205633,Cs-F-Fe,10,-46.13570980515132,-46.10855885661013,-136.29917907714844,-46.12052917480469
mp-1205629,Cs-F-Fe,10,-46.552264737696774,-46.53532089342386,-136.92877197265625,-46.6202392578125
mp-1105732,Cs-F-Fe,18,-93.53853326894033,-93.72149531659493,-193.5101776123047,-93.46833801269531
mp-554225,Cs-F-Fe,24,-119.33188314899247,-119.52353253087149,-274.3107604980469,-119.42170715332031
mp-1194167,Cs-F-Fe,28,-136.75045664395952,-136.66182443829462,-343.81573486328125,-136.76490783691406
mp-541662,Cs-F-Fe,28,-136.74183357415006,-136.65443408977097,-343.8486633300781,-136.76254272460938
mp-555302,Cs-F-Fe,30,-149.75241396586335,-150.09733927364363,-371.5980529785156,-150.27871704101562
mp-1213714,Cs-F-Fe,32,-153.4144394504771,-153.58762975152834,-412.1940612792969,-153.43878173828125
mp-616023,Cs-F-Fe,34,-167.220649083277,-167.25689657067795,-440.09619140625,-167.36093139648438
mp-1197505,Cs-F-Fe,36,-187.20514766265853,-187.72804996386174,-387.23663330078125,-187.28765869140625
mp-562028,Cs-F-Fe,52,-250.60979206314215,-250.3725410113851,-700.2827758789062,-250.8107147216797
mp-976903,Na-Nd,4,-14.654525997058073,-14.770233812134485,-101.7789535522461,-14.624687194824219
mp-983562,Na-Nd,8,-15.006540119270687,-14.807346910934628,-85.51432037353516,-14.960895538330078
mp-1412709,Cu-F-Mg,12,-55.727262655220926,-55.799736962259146,-88.01317596435547,-55.76714324951172
mp-1404142,Cu-F-Mg,14,-61.2601399509565,-61.37320302223502,-96.05341339111328,-61.28831481933594
mp-1377308,Cu-F-Mg,28,-122.3596175761878,-122.66741011674843,-192.0980224609375,-122.41969299316406
mp-1205844,F-K-Tm,10,-52.17685973180322,-52.1718254068545,-106.58367919921875,-52.21021270751953
mp-1205867,F-K-Tm,10,-51.733364569982875,-51.69016374111962,-106.006103515625,-51.76148986816406
mp-1211645,F-K-Tm,20,-105.50032607250901,-105.57380592801032,-214.8142852783203,-105.64517211914062
mp-1211536,F-K-Tm,32,-177.00388491831842,-177.1863279052247,-370.5600891113281,-177.08096313476562
mp-1211506,F-K-Tm,40,-250.1570448220623,-250.44494978260286,-558.9525756835938,-250.51202392578125
mp-1202753,F-K-Tm,108,-641.8225286006191,-642.198610687747,-1392.79541015625,-642.72802734375
mp-734,Hg-La,2,-6.229102529741583,-6.219798795204454,-80.24335479736328,-6.237611293792725
mp-1062935,Hg-La,3,-6.9968928520102835,-6.994591894934401,-130.17828369140625,-6.997367858886719
mp-1063280,Hg-La,3,-5.901893041820271,-6.9996048036166325,-130.17613220214844,-7.005856513977051
mp-11463,Hg-La,3,-6.997927986365184,-6.997271049073798,-130.17648315429688,-7.006985664367676
mp-1222812,Hg-La,4,-6.601236237108056,-6.609576103800205,-179.06387329101562,-6.650632381439209
mp-1185066,Hg-La,4,-15.866443049502246,-15.67314088527028,-139.40965270996094,-15.896219253540039
mp-862332,Hg-La,8,-15.174432474723488,-15.19259501656092,-359.852294921875,-15.231165885925293
mp-1185127,Hg-La,8,-31.787513822357884,-31.754334499747962,-279.00445556640625,-31.835773468017578
mp-1204948,Hg-La,112,-172.85683166992945,-173.1617597200095,-5143.01123046875,-173.40895080566406
mp-1205088,Hg-La,142,-200.97862835058405,-202.40672640560905,-6548.14697265625,-202.29623413085938
mp-1187968,Cu-Yb,4,-8.371547395049374,-8.38006610009773,-117.13260650634766,-8.341875076293945
mp-567538,Cu-Yb,6,-21.290555028174328,-21.260708218882545,-115.70649719238281,-21.243093490600586
